=== 종목 배치 적재 (GICS 계층화) ===

모드: cron (sector_id 재시도)

  섹터 매핑 테이블 로드 중...
  gics_yfinance_map: 176건, sectors L1: 12건, sectors 전체: 220건

[cron] sector_id 미설정 종목 조회 중...
  대상: 10798개

  [186/10798] 550100 (KR): null (매핑 실패)
  [187/10798] 0084D0 (KR): null (매핑 실패)
  [188/10798] 395280 (KR): null (매핑 실패)
  [189/10798] 390400 (KR): null (매핑 실패)
  [190/10798] 610098 (KR): null (매핑 실패)
  [191/10798] 316300 (KR): null (매핑 실패)
  [192/10798] 490330 (KR): null (매핑 실패)
  [193/10798] 610035 (KR): null (매핑 실패)
  [194/10798] 610083 (KR): null (매핑 실패)
  [195/10798] 610079 (KR): null (매핑 실패)
  [196/10798] 610082 (KR): null (매핑 실패)
  [197/10798] 354350 (KR): null (매핑 실패)
  [198/10798] 166400 (KR): null (매핑 실패)
  [199/10798] 465670 (KR): null (매핑 실패)
  [200/10798] 430500 (KR): null (매핑 실패)
  [201/10798] 580080 (KR): null (매핑 실패)
  [202/10798] 484890 (KR): null (매핑 실패)
  [203/10798] 0047N0 (KR): null (매핑 실패)
  [204/10798] 435550 (KR): null (매핑 실패)
  [205/10798] 463640 (KR): null (매핑 실패)
  [206/10798] 0138D0 (KR): null (매핑 실패)
  [207/10798] 379790 (KR): null (매핑 실패)
  [208/10798] 610045 (KR): null (매핑 실패)
  [209/10798] 487910 (KR): null (매핑 실패)
  [210/10798] 457700 (KR): null (매핑 실패)
  [211/10798] 580059 (KR): null (매핑 실패)
  [212/10798] 0004G0 (KR): null (매핑 실패)
  [213/10798] 483020 (KR): null (매핑 실패)
  [214/10798] 700030 (KR): null (매핑 실패)
  [215/10798] 395760 (KR): null (매핑 실패)
  [216/10798] 0053M0 (KR): null (매핑 실패)
  [217/10798] 760027 (KR): null (매핑 실패)
  [218/10798] 250730 (KR): null (매핑 실패)
  [219/10798] 610093 (KR): null (매핑 실패)
  [220/10798] 279540 (KR): null (매핑 실패)
  [221/10798] 610080 (KR): null (매핑 실패)
  [222/10798] 435040 (KR): null (매핑 실패)
  [223/10798] 461580 (KR): null (매핑 실패)
